Line Style,"Variable=Deck, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=12632256, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Lateral Structure, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=12632256, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Culvert, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=16777215, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Gate (Open Air), Line Style=1, Line Color=1, Line Width=2, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=XS Lid, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=14803425, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Black SE, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Culvert Blockage, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=8421504, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Gate Door, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=8421504, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=1, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Interp Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=10, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Left Levee, Line Style=1, Line Color=8, Line Width=0.5, Sym Type=4, Sym Color=8, Sym Size=3, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Right Levee, Line Style=1, Line Color=16, Line Width=0.5, Sym Type=4, Sym Color=16, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=WS1, Line Style=1, Line Color=7, Line Width=0.5, Sym Type=0, Sym Color=7, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=-1, Legend Only=0",Line Style,"Variable=Set WS, Line Style=0, Line Color=0, Line Width=0, Sym Type=10, Sym Color=8, Sym Size=6, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0"
Label,,Label,Lat Struct,Label,,Label,,Label,,Label,,Label,,Label,,Label,Ground,Label,,Label,Left Levee,Label,Right Levee,Label,WS  CWCB-100yr,Label,Set WS
x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
32.19000244,5717.399902,,,23.19000244,5719,,,,,794.8500023,5738.899902,,,,,0,5717.399902,,,,,,,0,5723.828125,,
32.19000244,5739.055176,,,23.19000244,5733,,,,,794.8500023,5745.140137,,,,,32.19000244,5717.399902,,,,,,,23.19000053,5728.10498,,
82.19000244,5742.049805,,,93.19000244,5734,,,,,806.1000023,5745.22998,,,,,82.19000244,5721.529785,,,,,,,27.8566672,5728.179688,,
82.19000244,5721.529785,,,93.19000244,5720,,,,,806.1000023,5740.549805,,,,,162.1900024,5721.529785,,,,,,,32.52333387,5728.253906,,
,,,,,,,,,,,,,,,,325.3000031,5726.100098,,,,,,,37.19000053,5728.328613,,
794.8500023,5744.87207,,,19267.2,6343.810059,,,,,1373.150002,5750.540039,,,,,497.0800018,5733.919922,,,,,,,41.8566672,5728.404785,,
794.8500023,5745.140137,,,19267.2,6350.810059,,,,,1373.150002,5758.806641,,,,,671.4400024,5736.910156,,,,,,,46.52333387,5728.484375,,
806.1000023,5745.22998,,,19299.2,6351.160156,,,,,1385.150002,5759.089844,,,,,787.5500031,5738.899902,,,,,,,51.19000053,5728.563477,,
806.1000023,5744.928223,,,19299.2,6344.160156,,,,,1385.150002,5750.439941,,,,,794.8500023,5738.899902,,,,,,,55.8566672,5728.645996,,
,,,,,,,,,,,,,,,,806.1000023,5740.549805,,,,,,,60.52333387,5728.730469,,
1373.150002,5758.806641,,,19267.2,6343.72998,,,,,1589.43,5757.529785,,,,,814.1000023,5740.549805,,,,,,,65.19000053,5728.818848,,
1373.150002,5758.806641,,,19267.2,6350.72998,,,,,1589.43,5762.120117,,,,,882.8699989,5742.209961,,,,,,,69.8566672,5728.910156,,
1385.150002,5759.089844,,,19299.2,6351.089844,,,,,1600.93,5762.200195,,,,,1093.039997,5745.859863,,,,,,,74.52333387,5729.008789,,
1385.150002,5758.828125,,,19299.2,6344.089844,,,,,1600.93,5756.75,,,,,1267.000004,5749.089844,,,,,,,79.19000053,5729.114746,,
,,,,,,,,,,,,,,,,1364.740002,5750.540039,,,,,,,83.8566672,5729.235352,,
1589.43,5761.5,,,19267.2,6343.75,,,,,1719.459999,5760.200195,,,,,1373.150002,5750.540039,,,,,,,88.52333387,5729.382324,,
1589.43,5762.120117,,,19267.2,6350.75,,,,,1719.459999,5768.359863,,,,,1385.150002,5750.439941,,,,,,,93.19000053,5729.695313,,
1600.93,5762.200195,,,19299.2,6350.870117,,,,,1731.459999,5768.349609,,,,,1391.150002,5750.439941,,,,,,,162.1900024,5736.132324,,
1600.93,5761.5,,,19299.2,6343.870117,,,,,1731.459999,5760.140137,,,,,1451.170002,5752.990234,,,,,,,325.3000031,5736.519531,,
,,,,,,,,,,,,,,,,1577.200001,5757.529785,,,,,,,497.0800018,5738.217773,,
1719.459999,5767.589844,,,,,,,,,1965.57,5765.359863,,,,,1589.43,5757.529785,,,,,,,671.4400024,5743.269531,,
