Line Style,"Variable=Deck, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=12632256, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Lateral Structure, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=12632256, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Culvert, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=16777215, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Gate (Open Air), Line Style=1, Line Color=1, Line Width=2, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=XS Lid, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=14803425, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Black SE, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Culvert Blockage, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=8421504, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Gate Door, Line Style=1, Line Color=1, Line Width=0, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=1, FillColor=8421504, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=1, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Interp Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=10, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Left Levee, Line Style=1, Line Color=8, Line Width=0.5, Sym Type=4, Sym Color=8, Sym Size=3, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Right Levee, Line Style=1, Line Color=16, Line Width=0.5, Sym Type=4, Sym Color=16, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=WS1, Line Style=1, Line Color=7, Line Width=0.5, Sym Type=0, Sym Color=7, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=-1, Legend Only=0",Line Style,"Variable=Set WS, Line Style=0, Line Color=0, Line Width=0, Sym Type=10, Sym Color=8, Sym Size=6, Polygon=0, FillMode=0, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0"
Label,,Label,Lat Struct,Label,,Label,,Label,,Label,,Label,,Label,,Label,Ground,Label,,Label,Left Levee,Label,Right Levee,Label,WS  100yr,Label,Set WS
x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,Ground_x,Ground_y,x,y,x,y,x,y,x,y,x,y
84551.38013,1916.30603,,,,,,,,,84551.38013,1872.900024,,,,,0,1865.97998,,,,,,,0,1894.343872,,
84551.38013,1916.30603,,,,,,,,,84551.38013,1916.30603,,,,,382.730011,1865.97998,,,,,,,382.730011,1894.325806,,
84616.99713,1916.30603,,,,,,,,,84616.99713,1916.30603,,,,,867.6200256,1866.109985,,,,,,,867.6200256,1894.513916,,
84616.99713,1916.30603,,,,,,,,,84616.99713,1872.900024,,,,,1353.710022,1866.349976,,,,,,,1353.710022,1894.892944,,
,,,,,,,,,,,,,,,,1949.280029,1866.310059,,,,,,,1949.280029,1895.072632,,
,,,,,,,,,,,,,,,,2356.800018,1866.310059,,,,,,,2356.800018,1895.113037,,
,,,,,,,,,,,,,,,,2843.590027,1866.310059,,,,,,,2843.590027,1895.276489,,
,,,,,,,,,,,,,,,,3256.01004,1866.380005,,,,,,,3256.01004,1895.356934,,
,,,,,,,,,,,,,,,,3801.550018,1866.709961,,,,,,,3801.550018,1895.436523,,
,,,,,,,,,,,,,,,,4266.870026,1867.109985,,,,,,,4266.870026,1895.505371,,
,,,,,,,,,,,,,,,,4807.350006,1867.449951,,,,,,,4807.350006,1895.603027,,
,,,,,,,,,,,,,,,,5280.230011,1868.699951,,,,,,,5280.230011,1895.752686,,
,,,,,,,,,,,,,,,,5778.870026,1868.310059,,,,,,,5778.870026,1895.786255,,
,,,,,,,,,,,,,,,,6647.740021,1869.400024,,,,,,,6647.740021,1895.928711,,
,,,,,,,,,,,,,,,,7786.51004,1870.449951,,,,,,,7786.51004,1896.008545,,
,,,,,,,,,,,,,,,,8790.300018,1871.530029,,,,,,,8790.300018,1896.317505,,
,,,,,,,,,,,,,,,,9676.750031,1871,,,,,,,9676.750031,1896.39209,,
,,,,,,,,,,,,,,,,10249.92001,1871.180054,,,,,,,10249.92001,1896.582764,,
,,,,,,,,,,,,,,,,11048.67001,1871.099976,,,,,,,11048.67001,1896.940552,,
,,,,,,,,,,,,,,,,11900.07999,1871.199951,,,,,,,11900.07999,1897.308838,,
,,,,,,,,,,,,,,,,12841.03,1871.030029,,,,,,,12841.03,1897.571533,,
,,,,,,,,,,,,,,,,13966.04001,1871.099976,,,,,,,13966.04001,1897.762329,,
,,,,,,,,,,,,,,,,14958.13998,1871.160034,,,,,,,14958.13998,1897.819214,,
,,,,,,,,,,,,,,,,15974.79996,1871,,,,,,,15974.79996,1897.878418,,
,,,,,,,,,,,,,,,,16837.99997,1871.26001,,,,,,,16837.99997,1897.999878,,
,,,,,,,,,,,,,,,,17437.12997,1871.26001,,,,,,,17437.12997,1898.041504,,
,,,,,,,,,,,,,,,,17829.21997,1871.26001,,,,,,,17829.21997,1898.083374,,
,,,,,,,,,,,,,,,,18362.31,1871.300049,,,,,,,18362.31,1898.121338,,
,,,,,,,,,,,,,,,,18824.51999,1871.329956,,,,,,,18824.51999,1898.151611,,
