Line Style,"Variable=Block Ineff, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=0, Sym Color=0, Sym Size=0, Polygon=-1, FillMode=4, FillColor=32768, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ground, Line Style=1, Line Color=1, Line Width=0.5, Sym Type=4, Sym Color=1, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Ineff, Line Style=1, Line Color=13, Line Width=0.5, Sym Type=1, Sym Color=13, Sym Size=5, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=Bank Sta, Line Style=0, Line Color=0, Line Width=0, Sym Type=5, Sym Color=3, Sym Size=5, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=0, Legend Only=0",Line Style,"Variable=WS1, Line Style=1, Line Color=7, Line Width=0.5, Sym Type=0, Sym Color=7, Sym Size=3, Polygon=0, FillMode=1, FillColor=0, On Bottom(in legend)=False, Sort (in legend)=-1, Legend Only=0"
Label,,Ground,Ground,Label,Ineff,Label,Bank Sta,Label,WS 100yr
x,y,Ground_x,Ground_y,x,y,x,y,x,y
524.9436035,1906.568848,0,1925.569946,923.25,1906.404785,8997.280273,1897.199951,524.9436035,1906.568848
893.1884155,1906.568848,31.98999977,1924.560059,923.25,1909.609985,,,893.1884155,1906.568848
895.6900024,1907.359985,47.97999954,1924.72998,,,9957.280273,1896.27002,,
903.6900024,1908.77002,67.98000336,1924.130005,10927.7998,1913.223022,,,918.3077393,1906.568848
911.6799927,1908.640015,87.97000122,1922.130005,10927.7998,1913.469971,,,925.4619141,1906.568848
918.3077393,1906.568848,99.97000122,1921.560059,,,,,,
923.25,1906.568848,131.9499969,1920.569946,,,,,971.3453369,1906.568848
923.25,1906.404785,139.9499969,1920.699951,,,,,9970.612305,1906.568848
919.6799927,1906.140015,179.9400024,1920.420044,,,,,,
911.6799927,1908.640015,195.9299927,1919.800049,,,,,10324.5166,1906.568848
903.6900024,1908.77002,211.9299927,1920.469971,,,,,10661.82129,1906.568848
895.6900024,1907.359985,235.9199982,1918.98999,,,,,,
887.6900024,1904.829956,243.9199982,1916.910034,,,,,11100.7334,1906.568848
863.7000122,1904,251.9100037,1915.75,,,,,11201.17773,1906.568848
827.710022,1903.949951,271.9100037,1915.5,,,,,,
799.7199707,1904.140015,295.8999939,1914.689941,,,,,11587.09277,1906.568848
767.7299805,1903.859985,307.8900146,1914.680054,,,,,11723.42773,1906.568848
715.75,1903.910034,323.8900146,1915.5,,,,,,
687.7600098,1903.680054,347.8800049,1915.969971,,,,,9493.260254,1906.568848
655.7700195,1903.660034,363.8699951,1916.780029,,,,,,
639.7800293,1903.369995,411.8599854,1918.540039,,,,,,
627.7800293,1903.77002,431.8500061,1918.47998,,,,,,
611.789978,1903.719971,451.8399963,1919.280029,,,,,,
599.789978,1904.280029,459.8399963,1920.140015,,,,,,
583.7999878,1904.290039,471.8399963,1920.449951,,,,,,
567.7999878,1902.380005,495.8299866,1918.77002,,,,,,
543.8099976,1902.359985,511.8200073,1914.319946,,,,,,
531.8099976,1903.709961,527.8200073,1904.869995,,,,,,
527.8200073,1904.869995,531.8099976,1903.709961,,,,,,
,,543.8099976,1902.359985,,,,,,
11100.7334,1906.568848,567.7999878,1902.380005,,,,,,
11201.17773,1906.568848,583.7999878,1904.290039,,,,,,
11203.84961,1908.72998,599.789978,1904.280029,,,,,,
11207.84961,1909.609985,611.789978,1903.719971,,,,,,
11239.80957,1908.390015,627.7800293,1903.77002,,,,,,
11267.78027,1907.959961,639.7800293,1903.369995,,,,,,
11291.75,1907.959961,655.7700195,1903.660034,,,,,,
11319.70996,1908.23999,687.7600098,1903.680054,,,,,,
11347.67969,1907.77002,715.75,1903.910034,,,,,,
11379.63965,1907.719971,767.7299805,1903.859985,,,,,,
11407.61035,1910.27002,799.7199707,1904.140015,,,,,,
11431.58008,1911.829956,827.710022,1903.949951,,,,,,
11467.53027,1912.400024,863.7000122,1904,,,,,,
11479.51953,1912.209961,887.6900024,1904.829956,,,,,,
11515.46973,1912.369995,895.6900024,1907.359985,,,,,,
11535.4502,1913.060059,903.6900024,1908.77002,,,,,,
11551.42969,1912.849976,911.6799927,1908.640015,,,,,,
11563.41992,1912.209961,919.6799927,1906.140015,,,,,,
11575.40039,1910.359985,931.6799927,1907.030029,,,,,,
11583.38965,1908.109985,939.6699829,1909.439941,,,,,,
11587.09277,1906.568848,947.6699829,1909.859985,,,,,,
11723.42773,1906.568848,955.6699829,1909.5,,,,,,
11711.23047,1898.599976,971.6599731,1906.51001,,,,,,
11703.24023,1896.219971,979.6599731,1906.160034,,,,,,
11691.25977,1895.939941,1023.640015,1905.449951,,,,,,
11671.28027,1893.439941,1087.619995,1905.410034,,,,,,
11659.2998,1892.540039,1115.609985,1905.199951,,,,,,
11639.32031,1892.199951,1147.599976,1905.22998,,,,,,
11619.34961,1892.719971,1183.589966,1905.02002,,,,,,
11615.34961,1893.550049,1203.579956,1905.130005,,,,,,
11603.37012,1897.949951,1259.560059,1904.959961,,,,,,
11595.37988,1903.119995,1291.550049,1905.130005,,,,,,
11583.38965,1908.109985,1307.540039,1904.959961,,,,,,
11575.40039,1910.359985,1379.52002,1904.949951,,,,,,
11563.41992,1912.209961,1411.51001,1904.719971,,,,,,
11551.42969,1912.849976,1475.47998,1904.849976,,,,,,
11535.4502,1913.060059,1527.469971,1904.800049,,,,,,
11515.46973,1912.369995,1615.060059,1904.47998,,,,,,
11479.51953,1912.209961,1627.430054,1904.569946,,,,,,
11467.53027,1912.400024,1655.420044,1903.780029,,,,,,
11431.58008,1911.829956,1699.410034,1903.810059,,,,,,
11407.61035,1910.27002,1715.400024,1904.52002,,,,,,
11379.63965,1907.719971,1723.400024,1904.219971,,,,,,
11347.67969,1907.77002,1731.390015,1903,,,,,,
11319.70996,1908.23999,1743.390015,1903.089966,,,,,,
11291.75,1907.959961,1763.380005,1902.469971,,,,,,
11267.78027,1907.959961,1787.369995,1899.170044,,,,,,
11239.80957,1908.390015,1827.359985,1899.349976,,,,,,
11207.84961,1909.609985,1847.349976,1899.209961,,,,,,
11203.84961,1908.72998,1891.339966,1899.47998,,,,,,
11191.87012,1899.040039,1915.329956,1899.380005,,,,,,
11187.87012,1896.930054,1955.319946,1899.540039,,,,,,
11179.87988,1894.689941,2007.300049,1899.51001,,,,,,
11123.9502,1892.319946,2043.280029,1899.76001,,,,,,
11119.95996,1893.550049,2095.27002,1899.630005,,,,,,
11111.96973,1898.25,2115.26001,1899.839966,,,,,,
,,2171.23999,1900.050049,,,,,,
,,2215.22998,1899.969971,,,,,,
,,2247.219971,1900.160034,,,,,,
,,2283.199951,1900.130005,,,,,,
,,2399.159912,1900.709961,,,,,,
,,2411.159912,1900.609985,,,,,,
,,2459.139893,1900.910034,,,,,,
,,2479.139893,1900.02002,,,,,,
,,2495.129883,1900.25,,,,,,
,,2511.129883,1899.680054,,,,,,
,,2547.110107,1899.609985,,,,,,
,,2619.090088,1900,,,,,,
,,2635.080078,1900.25,,,,,,
,,2663.070068,1900.160034,,,,,,
,,2703.060059,1900.380005,,,,,,
,,2739.050049,1900.319946,,,,,,
,,2771.040039,1900.469971,,,,,,
,,2879,1900.469971,,,,,,
,,2895,1900.73999,,,,,,
,,2918.98999,1900.550049,,,,,,
,,3054.939941,1901.040039,,,,,,
,,3130.919922,1901.089966,,,,,,
,,3194.889893,1901.420044,,,,,,
,,3274.870117,1901.680054,,,,,,
,,3330.850098,1902.369995,,,,,,
,,3350.840088,1901.780029,,,,,,
,,3398.830078,1901.660034,,,,,,
,,3414.820068,1901.430054,,,,,,
,,3526.780029,1901.390015,,,,,,
,,3602.76001,1900.890015,,,,,,
,,3678.72998,1901.050049,,,,,,
,,3690.72998,1900.810059,,,,,,
,,3730.709961,1900.880005,,,,,,
,,3750.709961,1900.689941,,,,,,
,,3778.699951,1900.910034,,,,,,
,,3818.679932,1900.660034,,,,,,
,,3842.679932,1900.890015,,,,,,
,,3862.669922,1900.619995,,,,,,
,,3894.659912,1900.650024,,,,,,
,,3906.649902,1900.459961,,,,,,
,,3934.639893,1900.640015,,,,,,
,,3946.639893,1900.319946,,,,,,
,,3974.629883,1900.47998,,,,,,
