,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,,1,,,,,2,,,,,3,,,,,4,,,
,,,,,,,,,,,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev,,Reach,River Sta,Profile,W.S. Elev
XS,DIFF,MAX,AVERAGE,MIN,STDEV,0,1,2,3,4,,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft),,,,,(ft)
90674,,,,,,1913.79,,,,,,1,90674,100yr,1913.79,,1,90318,100yr,1913.73,,1,90407,100yr,1913.86,,1,90496,100yr,1913.93,,1,90585,100yr,1913.75
90230,0.20,1913.88,1913.75,1913.68,0.09,1913.7,1913.72,1913.83,1913.88,1913.68,,1,90230,100yr,1913.7,,1,89838,100yr,1913.65,,1,89936,100yr,1913.77,,1,90034,100yr,1913.84,,1,90132,100yr,1913.66
89740,0.20,1913.80,1913.66,1913.60,0.09,1913.61,1913.64,1913.74,1913.80,1913.60,,1,89740,100yr,1913.61,,1,89304,100yr,1913.57,,1,89413,100yr,1913.7,,1,89522,100yr,1913.77,,1,89631,100yr,1913.58
89195,0.21,1913.73,1913.58,1913.51,0.10,1913.52,1913.56,1913.67,1913.73,1913.51,,1,89195,100yr,1913.52,,1,88807,100yr,1913.51,,1,88904,100yr,1913.63,,1,89001,100yr,1913.7,,1,89098,100yr,1913.5
88711,0.21,1913.66,1913.52,1913.44,0.09,1913.46,1913.50,1913.61,1913.66,1913.44,,1,88711,100yr,1913.46,,1,88297,100yr,1913.44,,1,88400,100yr,1913.57,,1,88504,100yr,1913.63,,1,88607,100yr,1913.43
88194,0.21,1913.59,1913.46,1913.38,0.09,1913.4,1913.43,1913.54,1913.59,1913.38,,1,88194,100yr,1913.4,,1,87726,100yr,1913.36,,1,87843,100yr,1913.49,,1,87960,100yr,1913.56,,1,88077,100yr,1913.37
87609,0.21,1913.50,1913.37,1913.30,0.09,1913.32,1913.33,1913.45,1913.50,1913.30,,1,87609,100yr,1913.32,,1,87195,100yr,1913.24,,1,87298,100yr,1913.39,,1,87402,100yr,1913.47,,1,87505,100yr,1913.28
87092,0.22,1913.38,1913.23,1913.16,0.09,1913.18,1913.20,1913.32,1913.38,1913.16,,1,87092,100yr,1913.18,,1,86767,100yr,1913.07,,1,86848,100yr,1913.23,,1,86929,100yr,1913.33,,1,87010,100yr,1913.14
86686,0.23,1913.22,1913.07,1913.00,0.10,1913.01,1913.03,1913.16,1913.22,1913.00,,1,86686,100yr,1913.01,,1,86342,100yr,1912.87,,1,86428,100yr,1913.04,,1,86514,100yr,1913.15,,1,86600,100yr,1912.96
86256,0.24,1913.01,1912.85,1912.77,0.10,1912.8,1912.82,1912.95,1913.01,1912.77,,1,86256,100yr,1912.8,,1,86000,100yr,1912.66,,1,86064,100yr,1912.84,,1,86128,100yr,1912.94,,1,86192,100yr,1912.74
85937,0.24,1912.80,1912.65,1912.56,0.10,1912.59,1912.62,1912.75,1912.80,1912.56,,1,85937,100yr,1912.59,,1,85669,100yr,1912.44,,1,85736,100yr,1912.6,,1,85803,100yr,1912.7,,1,85870,100yr,1912.51
85603,0.23,1912.56,1912.41,1912.33,0.10,1912.38,1912.36,1912.49,1912.56,1912.33,,1,85603,100yr,1912.38,,1,85479,100yr,1912.22,,1,85510,100yr,1912.41,,1,85541,100yr,1912.52,,1,85572,100yr,1912.31
85448,0.28,1912.14,1912.13,1911.87,0.11,1912.13,1912.11,1912.14,1912.03,1911.87,,1,85448,100yr,1912.13,,1,85180,100yr,1911.17,,1,85247,100yr,1911.28,,1,85314,100yr,1911.33,,1,85381,100yr,1911.63
85113,0.10,1911.24,1911.20,1911.14,0.05,1911.24,1911.15,1911.22,1911.22,1911.14,,1,85113,100yr,1911.24,,1,85113,100yr,1911.15,,1,85113,100yr,1911.22,,1,85113,100yr,1911.22,,1,85113,100yr,1911.14
85065,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,,1,85065,,,,1,85065,,,,1,85065,,,,1,85065,,,,1,85065,,
85015,0.10,1911.02,1910.98,1910.92,0.05,1911.02,1910.93,1911.00,1911.00,1910.92,,1,85015,100yr,1911.02,,1,85015,100yr,1910.93,,1,85015,100yr,1911,,1,85015,100yr,1911,,1,85015,100yr,1910.92
84597,0.15,1910.99,1910.92,1910.84,0.06,1910.99,1910.87,1910.90,1910.90,1910.84,,1,84597,100yr,1910.99,,1,84680,100yr,1910.89,,1,84764,100yr,1910.93,,1,84847,100yr,1910.93,,1,84931,100yr,1910.89
84289,0.15,1910.90,1910.83,1910.75,0.06,1910.9,1910.78,1910.82,1910.81,1910.75,,1,84289,100yr,1910.9,,1,84350,100yr,1910.8,,1,84412,100yr,1910.87,,1,84473,100yr,1910.88,,1,84535,100yr,1910.83
83775,0.16,1910.70,1910.62,1910.54,0.06,1910.7,1910.56,1910.61,1910.61,1910.54,,1,83775,100yr,1910.7,,1,83877,100yr,1910.61,,1,83980,100yr,1910.7,,1,84083,100yr,1910.74,,1,84186,100yr,1910.72
83304,0.15,1910.47,1910.40,1910.32,0.06,1910.47,1910.33,1910.40,1910.40,1910.32,,1,83304,100yr,1910.47,,1,83398,100yr,1910.37,,1,83492,100yr,1910.48,,1,83586,100yr,1910.53,,1,83680,100yr,1910.5
82838,0.17,1910.30,1910.22,1910.13,0.06,1910.3,1910.16,1910.21,1910.20,1910.13,,1,82838,100yr,1910.3,,1,82931,100yr,1910.19,,1,83024,100yr,1910.28,,1,83117,100yr,1910.31,,1,83210,100yr,1910.28
82322,0.18,1910.12,1910.03,1909.94,0.07,1910.12,1909.96,1910.01,1910.01,1909.94,,1,82322,100yr,1910.12,,1,82425,100yr,1910,,1,82528,100yr,1910.09,,1,82631,100yr,1910.12,,1,82734,100yr,1910.09
81851,0.20,1909.96,1909.86,1909.76,0.08,1909.96,1909.79,1909.84,1909.84,1909.76,,1,81851,100yr,1909.96,,1,81945,100yr,1909.82,,1,82039,100yr,1909.91,,1,82133,100yr,1909.94,,1,82227,100yr,1909.9
81328,0.21,1909.77,1909.67,1909.56,0.08,1909.77,1909.59,1909.65,1909.64,1909.56,,1,81328,100yr,1909.77,,1,81432,100yr,1909.63,,1,81537,100yr,1909.73,,1,81641,100yr,1909.76,,1,81746,100yr,1909.72
80819,0.22,1909.61,1909.51,1909.39,0.08,1909.61,1909.43,1909.49,1909.47,1909.39,,1,80819,100yr,1909.61,,1,80920,100yr,1909.45,,1,81022,100yr,1909.54,,1,81124,100yr,1909.56,,1,81226,100yr,1909.52
80336,0.23,1909.52,1909.41,1909.29,0.09,1909.52,1909.32,1909.39,1909.37,1909.29,,1,80336,100yr,1909.52,,1,80432,100yr,1909.34,,1,80529,100yr,1909.42,,1,80625,100yr,1909.42,,1,80722,100yr,1909.36
79787,0.23,1909.43,1909.32,1909.20,0.09,1909.43,1909.23,1909.30,1909.29,1909.20,,1,79787,100yr,1909.43,,1,79896,100yr,1909.25,,1,80006,100yr,1909.33,,1,80116,100yr,1909.34,,1,80226,100yr,1909.27
79347,0.23,1909.37,1909.26,1909.14,0.09,1909.37,1909.17,1909.24,1909.22,1909.14,,1,79347,100yr,1909.37,,1,79435,100yr,1909.18,,1,79523,100yr,1909.26,,1,79611,100yr,1909.26,,1,79699,100yr,1909.19
78818,0.24,1909.29,1909.17,1909.05,0.09,1909.29,1909.08,1909.15,1909.13,1909.05,,1,78818,100yr,1909.29,,1,78923,100yr,1909.1,,1,79029,100yr,1909.19,,1,79135,100yr,1909.19,,1,79241,100yr,1909.12
78386,0.24,1909.21,1909.10,1908.97,0.09,1909.21,1909.01,1909.07,1909.05,1908.97,,1,78386,100yr,1909.21,,1,78472,100yr,1909.02,,1,78558,100yr,1909.1,,1,78645,100yr,1909.1,,1,78731,100yr,1909.03
77888,0.24,1909.13,1909.02,1908.89,0.09,1909.13,1908.92,1908.99,1908.98,1908.89,,1,77888,100yr,1909.13,,1,77987,100yr,1908.94,,1,78087,100yr,1909.02,,1,78186,100yr,1909.02,,1,78286,100yr,1908.95
